book_names,author_pages,no_of_pages,no_of_ratings,avg_rating,my_rating,date_added,date_read,image_sources,image_name,name
The Perks of Being a Wallflower,https://www.goodreads.com/author/show/12898.Stephen_Chbosky,237,2001730,4.24,5.0,"August 03, 2025","Aug 03, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576628298l/49379178._SY75_.jpg,www/cover_42.png,Stephen Chbosky
Pride and Prejudice,https://www.goodreads.com/author/show/1265.Jane_Austen,400,4804752,4.3,4.0,"July 30, 2025","Aug 02, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681804503l/129915654._SX50_.jpg,www/cover_43.png,Jane Austen
The Overstory,https://www.goodreads.com/author/show/11783.Richard_Powers,513,196517,4.11,4.0,"July 08, 2025","Jul 29, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503247473l/36075657._SY75_.jpg,www/cover_44.png,Richard Powers
To Kill a Mockingbird,https://www.goodreads.com/author/show/1825.Harper_Lee,323,6887633,4.26,5.0,"July 11, 2025","Jul 25, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1612238791l/56916837._SY75_.jpg,www/cover_45.png,Harper Lee
Earthlings,https://www.goodreads.com/author/show/8816506.Sayaka_Murata,247,100105,3.6,2.0,"July 07, 2025","Jul 08, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580144195l/50269327._SY75_.jpg,www/cover_46.png,Sayaka Murata
Train Dreams,https://www.goodreads.com/author/show/6468.Denis_Johnson,116,37133,3.9,4.0,"July 07, 2025","Jul 07, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1747752588l/12991188._SY75_.jpg,www/cover_47.png,Denis Johnson
Udî,https://www.goodreads.com/author/show/5254845.Fatma_Aliye_Han_m,112,280,4.06,5.0,"June 30, 2025","Jul 03, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668036835l/63266290._SY75_.jpg,www/cover_48.png,Fatma Aliye Hanım
Long Live the Post Horn!,https://www.goodreads.com/author/show/736475.Vigdis_Hjorth,240,3875,3.61,2.0,"June 30, 2025",Jul 2025,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586800498l/53168757._SY75_.jpg,www/cover_49.png,Vigdis Hjorth
Kimsenin Ölmediği Bir Cinayet Öyküsü,https://www.goodreads.com/author/show/22337959.Ali_pek,125,89,3.4,3.0,"June 29, 2025","Jun 29, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1693498921l/198324952._SY75_.jpg,www/cover_50.png,Ali İpek
Saving Agnes,https://www.goodreads.com/author/show/46051.Rachel_Cusk,218,1687,3.44,3.0,"June 22, 2025","Jun 25, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1643144324l/60213492._SY75_.jpg,www/cover_51.png,Rachel Cusk
Levâyih-ı Hayat - Hayattan Sahneler,https://www.goodreads.com/author/show/5254845.Fatma_Aliye_Han_m,64,691,3.64,3.0,"June 25, 2025","Jun 25, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579686976l/50624021._SY75_.jpg,www/cover_52.png,Fatma Aliye Hanım
Kara Üçleme,https://www.goodreads.com/author/show/238151.L_o_Malet,408,185,4.06,3.0,"June 02, 2025","Jun 21, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488140357l/6605205._SY75_.jpg,www/cover_53.png,Léo Malet
